MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250218,17031,Cook County,IL,0.00,100.00,3.05,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,17031,Cook County,IL,0.00,100.00,17.94,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,17031,Cook County,IL,0.00,100.00,17.98,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,17031,Cook County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,17031,Cook County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,17031,Cook County,IL,0.00,100.00,36.25,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,17031,Cook County,IL,0.00,100.00,42.62,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,17031,Cook County,IL,0.00,100.00,100.00,25.54,0.00,0.00,2024-11-05,2024-11-11,1
20241029,17031,Cook County,IL,0.00,100.00,100.00,25.54,0.00,0.00,2024-10-29,2024-11-04,1
20241022,17031,Cook County,IL,0.00,100.00,100.00,22.45,0.00,0.00,2024-10-22,2024-10-28,1
20241015,17031,Cook County,IL,0.00,100.00,56.28,21.93,0.00,0.00,2024-10-15,2024-10-21,1
20241008,17031,Cook County,IL,0.00,100.00,38.70,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,17031,Cook County,IL,0.00,100.00,40.16,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,17031,Cook County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,17031,Cook County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,17031,Cook County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,17031,Cook County,IL,27.89,72.11,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,17031,Cook County,IL,27.89,72.11,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,17031,Cook County,IL,27.89,72.11,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,17031,Cook County,IL,82.55,17.45,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,17031,Cook County,IL,96.20,3.80,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,17031,Cook County,IL,18.43,81.57,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,17031,Cook County,IL,42.81,57.19,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,17031,Cook County,IL,42.81,57.19,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,17031,Cook County,IL,56.62,43.38,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
20231107,17031,Cook County,IL,56.62,43.38,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,1
20231031,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,17031,Cook County,IL,91.33,8.67,0.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231003,17031,Cook County,IL,83.99,16.01,0.00,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20230926,17031,Cook County,IL,91.23,8.77,0.00,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230919,17031,Cook County,IL,55.80,44.20,1.93,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230912,17031,Cook County,IL,23.99,76.01,1.93,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230905,17031,Cook County,IL,0.00,100.00,1.93,0.00,0.00,0.00,2023-09-05,2023-09-11,1
20230829,17031,Cook County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2023-08-29,2023-09-04,1
20230822,17031,Cook County,IL,52.01,47.99,0.00,0.00,0.00,0.00,2023-08-22,2023-08-28,1
20230815,17031,Cook County,IL,52.01,47.99,0.00,0.00,0.00,0.00,2023-08-15,2023-08-21,1
20230808,17031,Cook County,IL,0.00,100.00,0.05,0.00,0.00,0.00,2023-08-08,2023-08-14,1
20230801,17031,Cook County,IL,0.00,100.00,0.03,0.00,0.00,0.00,2023-08-01,2023-08-07,1
20230725,17031,Cook County,IL,0.00,100.00,23.23,0.04,0.00,0.00,2023-07-25,2023-07-31,1
20230718,17031,Cook County,IL,0.00,100.00,23.23,0.04,0.00,0.00,2023-07-18,2023-07-24,1
20230711,17031,Cook County,IL,0.00,100.00,61.17,27.59,0.00,0.00,2023-07-11,2023-07-17,1
20230704,17031,Cook County,IL,0.00,100.00,100.00,40.27,0.00,0.00,2023-07-04,2023-07-10,1
20230627,17031,Cook County,IL,0.00,100.00,100.00,100.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,17031,Cook County,IL,0.00,100.00,100.00,100.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,17031,Cook County,IL,0.00,100.00,100.00,95.18,0.00,0.00,2023-06-13,2023-06-19,1
20230606,17031,Cook County,IL,0.00,100.00,100.00,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230530,17031,Cook County,IL,0.00,100.00,84.39,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230523,17031,Cook County,IL,0.00,100.00,44.16,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230516,17031,Cook County,IL,29.50,70.50,0.00,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230509,17031,Cook County,IL,27.33,72.67,0.00,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230502,17031,Cook County,IL,85.60,14.40,0.00,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230425,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230418,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230411,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230404,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230328,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230321,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230314,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230307,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230228,17031,Cook County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230221,17031,Cook County,IL,91.48,8.52,0.00,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230214,17031,Cook County,IL,91.48,8.52,0.00,0.00,0.00,0.00,2023-02-14,2023-02-20,1
